PLL_OUTPUT MHz, HSE, PLLM, PLLN, PLLP, DMA_BEATS, actual color clock MHz, error
158.40, 16000000, 5, 99, 2, 12, 3.300000, -0.078095
158.40, 16000000, 10, 198, 2, 12, 3.300000, -0.078095
158.40, 16000000, 15, 297, 2, 12, 3.300000, -0.078095
145.20, 16000000, 20, 363, 2, 11, 3.300000, -0.078095
158.40, 16000000, 20, 396, 2, 12, 3.300000, -0.078095
145.23, 16000000, 13, 236, 2, 11, 3.300699, -0.077900
145.26, 16000000, 19, 345, 2, 11, 3.301435, -0.077694
158.48, 16000000, 21, 416, 2, 12, 3.301587, -0.077652
158.50, 16000000, 16, 317, 2, 12, 3.302083, -0.077513
145.33, 16000000, 6, 109, 2, 11, 3.303030, -0.077249
145.33, 16000000, 12, 218, 2, 11, 3.303030, -0.077249
158.55, 16000000, 11, 218, 2, 12, 3.303030, -0.077249
145.33, 16000000, 18, 327, 2, 11, 3.303030, -0.077249
158.59, 16000000, 17, 337, 2, 12, 3.303922, -0.077000
145.39, 16000000, 23, 418, 2, 11, 3.304348, -0.076880
145.41, 16000000, 17, 309, 2, 11, 3.304813, -0.076751
158.67, 16000000, 6, 119, 2, 12, 3.305556, -0.076543
158.67, 16000000, 12, 238, 2, 12, 3.305556, -0.076543
158.67, 16000000, 18, 357, 2, 12, 3.305556, -0.076543
145.45, 16000000, 11, 200, 2, 11, 3.305785, -0.076479
145.45, 16000000, 22, 400, 2, 11, 3.305785, -0.076479
145.50, 16000000, 16, 291, 2, 11, 3.306818, -0.076190
158.74, 16000000, 19, 377, 2, 12, 3.307018, -0.076135
145.52, 16000000, 21, 382, 2, 11, 3.307359, -0.076039
172.00, 16000000, 4, 86, 2, 13, 3.307692, -0.075946
172.00, 16000000, 6, 129, 2, 13, 3.307692, -0.075946
172.00, 16000000, 8, 172, 2, 13, 3.307692, -0.075946
172.00, 16000000, 10, 215, 2, 13, 3.307692, -0.075946
172.00, 16000000, 12, 258, 2, 13, 3.307692, -0.075946
158.77, 16000000, 13, 258, 2, 12, 3.307692, -0.075946
172.00, 16000000, 16, 344, 2, 13, 3.307692, -0.075946
172.00, 16000000, 18, 387, 2, 13, 3.307692, -0.075946
172.00, 16000000, 20, 430, 2, 13, 3.307692, -0.075946
172.00, 16000000, 14, 301, 2, 13, 3.307692, -0.075946
158.80, 16000000, 20, 397, 2, 12, 3.308333, -0.075767
145.60, 16000000, 5, 91, 2, 11, 3.309091, -0.075555
145.60, 16000000, 10, 182, 2, 11, 3.309091, -0.075555
145.60, 16000000, 15, 273, 2, 11, 3.309091, -0.075555
145.60, 16000000, 20, 364, 2, 11, 3.309091, -0.075555
158.86, 16000000, 7, 139, 2, 12, 3.309524, -0.075435
